time, MSD, sterr
1.000000e+02,2.758103e+00,1.735281e-02
2.000000e+02,9.662909e+00,6.288563e-02
3.000000e+02,2.012764e+01,1.324872e-01
4.000000e+02,3.388898e+01,2.247866e-01
5.000000e+02,5.084182e+01,3.384705e-01
6.000000e+02,7.057089e+01,4.714768e-01
7.000000e+02,9.288364e+01,6.224783e-01
8.000000e+02,1.175445e+02,7.909697e-01
9.000000e+02,1.443932e+02,9.754036e-01
1.000000e+03,1.731716e+02,1.173867e+00
1.100000e+03,2.039371e+02,1.386754e+00
1.200000e+03,2.363753e+02,1.610839e+00
1.300000e+03,2.705854e+02,1.851165e+00
1.400000e+03,3.063912e+02,2.103920e+00
1.500000e+03,3.437183e+02,2.367507e+00
1.700000e+03,4.222511e+02,2.920716e+00
1.800000e+03,4.632346e+02,3.213704e+00
2.000000e+03,5.483657e+02,3.820938e+00
2.200000e+03,6.381210e+02,4.463372e+00
2.400000e+03,7.307552e+02,5.122942e+00
2.600000e+03,8.262218e+02,5.801910e+00
2.800000e+03,9.243936e+02,6.495000e+00
3.100000e+03,1.075827e+03,7.560914e+00
3.400000e+03,1.231590e+03,8.655295e+00
3.700000e+03,1.390031e+03,9.765995e+00
4.000000e+03,1.550022e+03,1.087613e+01
4.400000e+03,1.765488e+03,1.235697e+01
4.800000e+03,1.982332e+03,1.383777e+01
5.200000e+03,2.201606e+03,1.531958e+01
5.700000e+03,2.476162e+03,1.712559e+01
6.200000e+03,2.749983e+03,1.887186e+01
6.700000e+03,3.024676e+03,2.059277e+01
7.300000e+03,3.351528e+03,2.259864e+01
8.000000e+03,3.732958e+03,2.489293e+01
8.700000e+03,4.100308e+03,2.705503e+01
9.500000e+03,4.510102e+03,2.938093e+01
1.040000e+04,4.964734e+03,3.187251e+01
1.130000e+04,5.414275e+03,3.422107e+01
1.230000e+04,5.901379e+03,3.657900e+01
1.340000e+04,6.434919e+03,3.905216e+01
1.460000e+04,7.020315e+03,4.168282e+01
1.600000e+04,7.709822e+03,4.469033e+01
1.740000e+04,8.399627e+03,4.764885e+01
1.900000e+04,9.181056e+03,5.079105e+01
2.070000e+04,1.000487e+04,5.412985e+01
2.250000e+04,1.084341e+04,5.735599e+01
2.460000e+04,1.180714e+04,6.086647e+01
2.680000e+04,1.273547e+04,6.404573e+01
2.920000e+04,1.377420e+04,6.753463e+01
3.180000e+04,1.488847e+04,7.146365e+01
3.470000e+04,1.604874e+04,7.530772e+01
3.780000e+04,1.730149e+04,7.975135e+01
4.120000e+04,1.865880e+04,8.423657e+01
4.490000e+04,2.015013e+04,8.893140e+01
4.890000e+04,2.176589e+04,9.399534e+01
5.330000e+04,2.356248e+04,1.002030e+02
5.810000e+04,2.542331e+04,1.065027e+02
6.340000e+04,2.758109e+04,1.137574e+02
6.910000e+04,2.994811e+04,1.221188e+02
7.530000e+04,3.238659e+04,1.306446e+02
8.200000e+04,3.496315e+04,1.394446e+02
8.940000e+04,3.779089e+04,1.485037e+02
9.740000e+04,4.113575e+04,1.600917e+02
1.062000e+05,4.476470e+04,1.732713e+02
1.158000e+05,4.879862e+04,1.878748e+02
1.262000e+05,5.273606e+04,2.006764e+02
1.375000e+05,5.740355e+04,2.165295e+02
1.499000e+05,6.225202e+04,2.332000e+02
1.633000e+05,6.769391e+04,2.518181e+02
1.780000e+05,7.376441e+04,2.727211e+02
1.940000e+05,8.006914e+04,2.955339e+02
2.114000e+05,8.694790e+04,3.200506e+02
2.304000e+05,9.462218e+04,3.488282e+02
2.511000e+05,1.030698e+05,3.788289e+02
2.737000e+05,1.124228e+05,4.109512e+02
2.983000e+05,1.226785e+05,4.481585e+02
3.251000e+05,1.341062e+05,4.888387e+02
3.543000e+05,1.462664e+05,5.319269e+02
3.861000e+05,1.588173e+05,5.775751e+02
4.208000e+05,1.724500e+05,6.253864e+02
4.586000e+05,1.874376e+05,6.777889e+02
4.999000e+05,2.050472e+05,7.412401e+02
