time, MSD, sterr
1.000000e+03,3.692695e-01,7.241289e-03
2.000000e+03,1.303750e+00,2.786016e-02
3.000000e+03,2.752866e+00,6.091940e-02
4.000000e+03,4.696684e+00,1.063194e-01
5.000000e+03,7.083467e+00,1.630584e-01
6.000000e+03,9.904670e+00,2.305700e-01
7.000000e+03,1.314133e+01,3.078993e-01
8.000000e+03,1.680970e+01,3.953957e-01
9.000000e+03,2.080755e+01,4.918499e-01
1.000000e+04,2.516207e+01,5.960734e-01
1.100000e+04,2.990959e+01,7.089838e-01
1.200000e+04,3.501452e+01,8.306761e-01
1.300000e+04,4.050013e+01,9.602721e-01
1.400000e+04,4.630811e+01,1.095918e+00
1.500000e+04,5.254733e+01,1.240233e+00
1.700000e+04,6.569651e+01,1.541542e+00
1.800000e+04,7.278196e+01,1.700825e+00
2.000000e+04,8.766716e+01,2.033903e+00
2.200000e+04,1.036860e+02,2.385507e+00
2.400000e+04,1.206117e+02,2.750843e+00
2.600000e+04,1.385336e+02,3.127644e+00
2.800000e+04,1.573306e+02,3.520299e+00
3.100000e+04,1.867675e+02,4.138654e+00
3.400000e+04,2.174597e+02,4.775366e+00
3.700000e+04,2.493862e+02,5.430690e+00
4.000000e+04,2.821676e+02,6.093466e+00
4.400000e+04,3.276633e+02,6.991096e+00
4.800000e+04,3.733882e+02,7.845004e+00
5.200000e+04,4.201987e+02,8.676594e+00
5.700000e+04,4.794853e+02,9.669092e+00
6.200000e+04,5.388968e+02,1.061309e+01
6.700000e+04,5.993642e+02,1.152237e+01
7.300000e+04,6.718526e+02,1.254632e+01
8.000000e+04,7.548991e+02,1.364411e+01
8.700000e+04,8.375023e+02,1.467175e+01
9.500000e+04,9.341925e+02,1.583790e+01
1.040000e+05,1.042753e+03,1.710170e+01
1.130000e+05,1.150168e+03,1.826572e+01
1.230000e+05,1.266982e+03,1.943535e+01
1.340000e+05,1.396421e+03,2.075138e+01
1.460000e+05,1.526977e+03,2.198157e+01
1.600000e+05,1.671873e+03,2.324809e+01
1.740000e+05,1.808686e+03,2.440210e+01
1.900000e+05,1.963243e+03,2.570627e+01
2.070000e+05,2.126411e+03,2.701049e+01
2.250000e+05,2.298094e+03,2.827725e+01
2.460000e+05,2.494626e+03,2.986250e+01
2.680000e+05,2.694504e+03,3.141765e+01
2.920000e+05,2.908536e+03,3.296447e+01
3.180000e+05,3.118671e+03,3.444746e+01
3.470000e+05,3.346883e+03,3.591657e+01
3.780000e+05,3.617699e+03,3.749395e+01
4.120000e+05,3.946897e+03,3.936783e+01
4.490000e+05,4.307177e+03,4.163535e+01
4.890000e+05,4.647612e+03,4.365868e+01
5.330000e+05,4.919722e+03,4.494691e+01
5.810000e+05,5.211106e+03,4.626863e+01
6.340000e+05,5.554333e+03,4.758866e+01
6.910000e+05,6.091577e+03,5.044962e+01
7.530000e+05,6.642632e+03,5.325196e+01
8.200000e+05,7.139614e+03,5.549233e+01
8.940000e+05,7.724371e+03,5.803461e+01
9.740000e+05,8.325709e+03,6.097432e+01
1.062000e+06,9.048633e+03,6.449150e+01
1.158000e+06,9.811426e+03,6.772812e+01
1.262000e+06,1.054755e+04,7.097164e+01
1.375000e+06,1.136936e+04,7.475745e+01
1.499000e+06,1.227825e+04,7.858643e+01
1.633000e+06,1.307002e+04,8.198366e+01
1.780000e+06,1.399315e+04,8.582547e+01
1.940000e+06,1.501204e+04,8.914212e+01
2.114000e+06,1.597278e+04,9.159968e+01
2.304000e+06,1.716032e+04,9.539143e+01
2.511000e+06,1.824694e+04,9.878693e+01
2.737000e+06,1.939759e+04,1.021831e+02
2.983000e+06,2.076596e+04,1.072065e+02
3.251000e+06,2.214593e+04,1.115195e+02
3.543000e+06,2.381923e+04,1.170649e+02
3.861000e+06,2.556343e+04,1.221692e+02
4.208000e+06,2.726495e+04,1.277105e+02
4.586000e+06,2.913171e+04,1.332809e+02
4.999000e+06,3.173405e+04,1.413650e+02
