time, MSD, sterr
1.000000e+03,3.827771e-01,7.355954e-03
2.000000e+03,1.348278e+00,2.800713e-02
3.000000e+03,2.840247e+00,6.070218e-02
4.000000e+03,4.801387e+00,1.048489e-01
5.000000e+03,7.205911e+00,1.590981e-01
6.000000e+03,9.991783e+00,2.217261e-01
7.000000e+03,1.317794e+01,2.945369e-01
8.000000e+03,1.674753e+01,3.759444e-01
9.000000e+03,2.063187e+01,4.641306e-01
1.000000e+04,2.482719e+01,5.590048e-01
1.100000e+04,2.935768e+01,6.609268e-01
1.200000e+04,3.416415e+01,7.686663e-01
1.300000e+04,3.924007e+01,8.804620e-01
1.400000e+04,4.459065e+01,9.965027e-01
1.500000e+04,5.024927e+01,1.117567e+00
1.600000e+04,5.616413e+01,1.242935e+00
1.700000e+04,6.230805e+01,1.371300e+00
1.800000e+04,6.862067e+01,1.501643e+00
1.900000e+04,7.514420e+01,1.635573e+00
2.000000e+04,8.187877e+01,1.770414e+00
2.100000e+04,8.874548e+01,1.903938e+00
2.200000e+04,9.585334e+01,2.042049e+00
2.300000e+04,1.031980e+02,2.186585e+00
2.400000e+04,1.106644e+02,2.330985e+00
2.500000e+04,1.181939e+02,2.472162e+00
2.700000e+04,1.339436e+02,2.765677e+00
2.800000e+04,1.421639e+02,2.916780e+00
3.000000e+04,1.592823e+02,3.221161e+00
3.100000e+04,1.679907e+02,3.370979e+00
3.300000e+04,1.857313e+02,3.668764e+00
3.500000e+04,2.041909e+02,3.973252e+00
3.700000e+04,2.234540e+02,4.285315e+00
3.800000e+04,2.333111e+02,4.441360e+00
4.000000e+04,2.533250e+02,4.756484e+00
4.300000e+04,2.836364e+02,5.223606e+00
4.500000e+04,3.040403e+02,5.530545e+00
4.700000e+04,3.243403e+02,5.833266e+00
5.000000e+04,3.554038e+02,6.277210e+00
5.200000e+04,3.768468e+02,6.569171e+00
5.500000e+04,4.100661e+02,7.006548e+00
5.800000e+04,4.435135e+02,7.424832e+00
6.100000e+04,4.773948e+02,7.823522e+00
6.400000e+04,5.122456e+02,8.218483e+00
6.800000e+04,5.600452e+02,8.764256e+00
7.100000e+04,5.971796e+02,9.180053e+00
7.500000e+04,6.477682e+02,9.767101e+00
7.900000e+04,6.989242e+02,1.034056e+01
8.300000e+04,7.491013e+02,1.087503e+01
8.700000e+04,7.985592e+02,1.140229e+01
9.200000e+04,8.588722e+02,1.204601e+01
9.700000e+04,9.184513e+02,1.266078e+01
1.020000e+05,9.751379e+02,1.322009e+01
1.070000e+05,1.032336e+03,1.378108e+01
1.130000e+05,1.101338e+03,1.442347e+01
1.190000e+05,1.170425e+03,1.504425e+01
1.250000e+05,1.240300e+03,1.567511e+01
1.320000e+05,1.319761e+03,1.635364e+01
1.380000e+05,1.385724e+03,1.691321e+01
1.460000e+05,1.474308e+03,1.763171e+01
1.530000e+05,1.550475e+03,1.819653e+01
1.610000e+05,1.639599e+03,1.888846e+01
1.700000e+05,1.743128e+03,1.974085e+01
1.790000e+05,1.840782e+03,2.049574e+01
1.880000e+05,1.934907e+03,2.116044e+01
1.980000e+05,2.039415e+03,2.189036e+01
2.080000e+05,2.147048e+03,2.258940e+01
2.190000e+05,2.267547e+03,2.335977e+01
2.310000e+05,2.397858e+03,2.413291e+01
2.430000e+05,2.528760e+03,2.487882e+01
2.550000e+05,2.653463e+03,2.549255e+01
2.690000e+05,2.797115e+03,2.618743e+01
2.830000e+05,2.949060e+03,2.688646e+01
2.970000e+05,3.104322e+03,2.763119e+01
3.130000e+05,3.286217e+03,2.858563e+01
3.290000e+05,3.455770e+03,2.951306e+01
3.470000e+05,3.641012e+03,3.049776e+01
3.650000e+05,3.842514e+03,3.156984e+01
3.840000e+05,4.046452e+03,3.261341e+01
4.040000e+05,4.243742e+03,3.362492e+01
4.250000e+05,4.455565e+03,3.473562e+01
4.470000e+05,4.678629e+03,3.587943e+01
4.700000e+05,4.914626e+03,3.701727e+01
4.950000e+05,5.162856e+03,3.822760e+01
5.210000e+05,5.396617e+03,3.926780e+01
5.480000e+05,5.680020e+03,4.069879e+01
5.770000e+05,5.986415e+03,4.228560e+01
6.070000e+05,6.312763e+03,4.406321e+01
6.380000e+05,6.624444e+03,4.571995e+01
6.720000e+05,6.931123e+03,4.725703e+01
7.070000e+05,7.221952e+03,4.859155e+01
7.440000e+05,7.542683e+03,5.000556e+01
7.830000e+05,7.911669e+03,5.178838e+01
8.240000e+05,8.267487e+03,5.357074e+01
8.670000e+05,8.665021e+03,5.571131e+01
9.120000e+05,9.028337e+03,5.761474e+01
9.590000e+05,9.445615e+03,5.958528e+01
1.009000e+06,9.902797e+03,6.168641e+01
1.062000e+06,1.031809e+04,6.370940e+01
1.118000e+06,1.082357e+04,6.577521e+01
1.176000e+06,1.143434e+04,6.821462e+01
1.237000e+06,1.202234e+04,7.080295e+01
1.302000e+06,1.259241e+04,7.328372e+01
1.370000e+06,1.313797e+04,7.559178e+01
1.441000e+06,1.373875e+04,7.846849e+01
1.517000e+06,1.440630e+04,8.203134e+01
1.596000e+06,1.507100e+04,8.530721e+01
1.679000e+06,1.573845e+04,8.825202e+01
1.767000e+06,1.649253e+04,9.155869e+01
1.859000e+06,1.740698e+04,9.575018e+01
1.956000e+06,1.808181e+04,9.834140e+01
2.058000e+06,1.889080e+04,1.014568e+02
2.166000e+06,1.962987e+04,1.047756e+02
2.279000e+06,2.032537e+04,1.075774e+02
2.397000e+06,2.132564e+04,1.115457e+02
2.523000e+06,2.201389e+04,1.141582e+02
2.654000e+06,2.271955e+04,1.165408e+02
2.793000e+06,2.365189e+04,1.191335e+02
2.939000e+06,2.443270e+04,1.215704e+02
3.092000e+06,2.532730e+04,1.238615e+02
3.253000e+06,2.612996e+04,1.254863e+02
3.423000e+06,2.739776e+04,1.301492e+02
3.602000e+06,2.852013e+04,1.336679e+02
3.790000e+06,2.947389e+04,1.363975e+02
3.987000e+06,3.052754e+04,1.396903e+02
4.196000e+06,3.175389e+04,1.433228e+02
4.414000e+06,3.265917e+04,1.456859e+02
4.645000e+06,3.364192e+04,1.479029e+02
4.887000e+06,3.495767e+04,1.517219e+02
5.142000e+06,3.634909e+04,1.555968e+02
5.411000e+06,3.787470e+04,1.601804e+02
5.693000e+06,3.921596e+04,1.642029e+02
5.990000e+06,4.083689e+04,1.688089e+02
6.303000e+06,4.227190e+04,1.728500e+02
6.632000e+06,4.378720e+04,1.771216e+02
6.978000e+06,4.525441e+04,1.813478e+02
7.342000e+06,4.695163e+04,1.856481e+02
7.725000e+06,4.905062e+04,1.915555e+02
8.128000e+06,5.067366e+04,1.958635e+02
8.552000e+06,5.243940e+04,2.007393e+02
8.999000e+06,5.488611e+04,2.074017e+02
