time, MSD, sterr
1.000000e+02,2.834777e+00,1.708920e-02
2.000000e+02,9.951322e+00,6.175301e-02
3.000000e+02,2.069918e+01,1.292971e-01
4.000000e+02,3.476891e+01,2.180997e-01
5.000000e+02,5.186538e+01,3.260423e-01
6.000000e+02,7.178693e+01,4.530171e-01
7.000000e+02,9.425646e+01,5.969614e-01
8.000000e+02,1.189022e+02,7.546544e-01
9.000000e+02,1.457473e+02,9.266353e-01
1.000000e+03,1.744515e+02,1.110284e+00
1.100000e+03,2.052374e+02,1.307894e+00
1.200000e+03,2.377943e+02,1.516013e+00
1.300000e+03,2.719440e+02,1.734090e+00
1.400000e+03,3.073828e+02,1.959678e+00
1.500000e+03,3.443587e+02,2.194152e+00
1.600000e+03,3.827535e+02,2.436812e+00
1.700000e+03,4.220573e+02,2.684143e+00
1.800000e+03,4.628268e+02,2.942054e+00
1.900000e+03,5.044898e+02,3.203846e+00
2.000000e+03,5.470598e+02,3.470556e+00
2.100000e+03,5.906096e+02,3.740364e+00
2.200000e+03,6.348222e+02,4.014888e+00
2.300000e+03,6.798439e+02,4.292931e+00
2.400000e+03,7.253775e+02,4.572580e+00
2.500000e+03,7.719425e+02,4.858739e+00
2.700000e+03,8.672053e+02,5.441339e+00
2.800000e+03,9.153219e+02,5.733903e+00
3.000000e+03,1.013095e+03,6.327788e+00
3.100000e+03,1.062965e+03,6.632038e+00
3.300000e+03,1.164071e+03,7.240240e+00
3.500000e+03,1.266225e+03,7.848548e+00
3.700000e+03,1.367419e+03,8.443754e+00
3.800000e+03,1.418472e+03,8.743048e+00
4.000000e+03,1.521640e+03,9.335566e+00
4.300000e+03,1.677188e+03,1.022635e+01
4.500000e+03,1.781685e+03,1.082616e+01
4.700000e+03,1.885786e+03,1.140828e+01
5.000000e+03,2.041834e+03,1.227341e+01
5.200000e+03,2.146214e+03,1.284641e+01
5.500000e+03,2.304339e+03,1.370326e+01
5.800000e+03,2.463275e+03,1.456529e+01
6.100000e+03,2.621825e+03,1.542138e+01
6.400000e+03,2.780376e+03,1.627490e+01
6.800000e+03,2.991737e+03,1.742284e+01
7.100000e+03,3.148666e+03,1.826639e+01
7.500000e+03,3.357201e+03,1.936064e+01
7.900000e+03,3.567601e+03,2.046301e+01
8.300000e+03,3.773985e+03,2.151139e+01
8.700000e+03,3.975876e+03,2.251602e+01
9.200000e+03,4.227840e+03,2.376526e+01
9.700000e+03,4.473635e+03,2.494801e+01
1.020000e+04,4.718735e+03,2.610622e+01
1.070000e+04,4.967825e+03,2.726176e+01
1.130000e+04,5.263822e+03,2.858942e+01
1.190000e+04,5.556572e+03,2.985671e+01
1.250000e+04,5.846239e+03,3.109582e+01
1.320000e+04,6.183864e+03,3.251074e+01
1.380000e+04,6.470143e+03,3.368557e+01
1.460000e+04,6.856120e+03,3.525965e+01
1.530000e+04,7.193037e+03,3.657973e+01
1.610000e+04,7.578919e+03,3.807372e+01
1.700000e+04,8.008704e+03,3.971079e+01
1.790000e+04,8.441744e+03,4.134120e+01
1.880000e+04,8.870867e+03,4.292677e+01
1.980000e+04,9.340180e+03,4.465620e+01
2.080000e+04,9.813573e+03,4.638435e+01
2.190000e+04,1.033761e+04,4.827322e+01
2.310000e+04,1.090244e+04,5.037755e+01
2.430000e+04,1.146839e+04,5.251043e+01
2.550000e+04,1.202226e+04,5.449449e+01
2.690000e+04,1.265836e+04,5.671571e+01
2.830000e+04,1.330577e+04,5.889347e+01
2.970000e+04,1.395338e+04,6.113511e+01
3.130000e+04,1.467702e+04,6.365740e+01
3.290000e+04,1.539209e+04,6.612225e+01
3.470000e+04,1.620194e+04,6.893677e+01
3.650000e+04,1.701008e+04,7.173258e+01
3.840000e+04,1.787727e+04,7.468664e+01
4.040000e+04,1.878389e+04,7.787028e+01
4.250000e+04,1.970477e+04,8.110391e+01
